Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
HJK Helsinki,6,5,1,0,8,4,4,16,1
Kuopion PS,6,3,3,0,7,9,-2,12,2
Inter Turku,6,2,3,1,5,8,-3,9,3
Seinajoki,6,1,3,2,8,9,-1,6,4
Ilves Tampere,6,1,2,3,9,7,2,5,5
Haka Valkeakoski,6,1,2,3,7,6,1,5,6
FC Lahti,6,1,2,3,5,10,-5,5,7
FC Honka,6,1,0,5,5,6,-1,3,8
Helsingfors IFK,6,0,3,3,8,8,0,3,9
Kotkan Tyovaen Palloilijat,6,0,1,5,7,8,-1,1,10
IFK Mariehamn,6,0,1,5,4,7,-3,1,11
Oulu,6,0,0,6,4,12,-8,0,12
HJK Helsinki,7,6,1,0,10,7,3,19,1
Kuopion PS,7,4,3,0,9,13,-4,15,2
Inter Turku,7,3,3,1,7,12,-5,12,3
Seinajoki,7,1,4,2,8,9,-1,7,4
Ilves Tampere,7,1,3,3,9,7,2,6,5
Haka Valkeakoski,7,1,3,3,8,7,1,6,6
FC Lahti,7,1,3,3,8,12,-4,6,7
FC Honka,7,1,0,6,5,7,-2,3,8
Helsingfors IFK,7,0,3,4,8,9,-1,3,9
IFK Mariehamn,7,0,2,5,4,7,-3,2,10
Kotkan Tyovaen Palloilijat,7,0,1,6,7,11,-4,1,11
Oulu,7,0,0,7,4,13,-9,0,12
HJK Helsinki,8,7,1,0,11,8,3,22,1
Kuopion PS,8,5,3,0,14,14,0,18,2
Inter Turku,8,3,4,1,8,14,-6,13,3
Seinajoki,8,1,5,2,9,10,-1,8,4
FC Honka,8,2,0,6,7,8,-1,6,5
Ilves Tampere,8,1,3,4,11,8,3,6,6
Haka Valkeakoski,8,1,3,4,8,10,-2,6,7
FC Lahti,8,1,3,4,10,13,-3,6,8
Helsingfors IFK,8,0,4,4,9,12,-3,4,9
IFK Mariehamn,8,0,2,6,6,9,-3,2,10
Kotkan Tyovaen Palloilijat,8,0,1,7,8,14,-6,1,11
Oulu,8,0,0,8,5,13,-8,0,12
HJK Helsinki,9,8,1,0,12,8,4,25,1
Kuopion PS,9,6,3,0,15,14,1,21,2
Inter Turku,9,4,4,1,10,15,-5,16,3
Ilves Tampere,9,2,3,4,14,8,6,9,4
FC Lahti,9,2,3,4,11,13,-2,9,5
Haka Valkeakoski,9,2,3,4,8,11,-3,9,6
Seinajoki,9,1,6,2,11,14,-3,9,7
FC Honka,9,2,1,6,11,8,3,7,8
Helsingfors IFK,9,0,4,5,9,14,-5,4,9
IFK Mariehamn,9,0,3,6,8,10,-2,3,10
Kotkan Tyovaen Palloilijat,9,0,1,8,8,16,-8,1,11
Oulu,9,0,1,8,5,15,-10,1,12
HJK Helsinki,10,9,1,0,12,9,3,28,1
Kuopion PS,10,7,3,0,17,15,2,24,2
Inter Turku,10,5,4,1,12,15,-3,19,3
Ilves Tampere,10,2,4,4,14,8,6,10,4
FC Lahti,10,2,4,4,11,14,-3,10,5
Haka Valkeakoski,10,2,4,4,9,12,-3,10,6
Seinajoki,10,1,6,3,11,16,-5,9,7
FC Honka,10,2,2,6,11,8,3,8,8
Helsingfors IFK,10,1,4,5,10,14,-4,7,9
IFK Mariehamn,10,0,3,7,9,16,-7,3,10
Kotkan Tyovaen Palloilijat,10,0,1,9,11,17,-6,1,11
Oulu,10,0,1,9,5,16,-11,1,12
HJK Helsinki,11,10,1,0,13,10,3,31,1
Kuopion PS,11,8,3,0,18,15,3,27,2
Inter Turku,11,6,4,1,14,19,-5,22,3
Seinajoki,11,2,6,3,17,18,-1,12,4
FC Lahti,11,2,5,4,11,14,-3,11,5
Haka Valkeakoski,11,2,5,4,11,15,-4,11,6
Ilves Tampere,11,2,4,5,14,8,6,10,7
FC Honka,11,2,3,6,14,8,6,9,8
Helsingfors IFK,11,1,5,5,11,16,-5,8,9
IFK Mariehamn,11,0,3,8,11,18,-7,3,10
Oulu,11,0,2,9,5,20,-15,2,11
Kotkan Tyovaen Palloilijat,11,0,1,10,13,18,-5,1,12
HJK Helsinki,12,10,2,0,15,10,5,32,1
Kuopion PS,12,9,3,0,19,15,4,30,2
Inter Turku,12,7,4,1,14,19,-5,25,3
Seinajoki,12,3,6,3,22,18,4,15,4
FC Honka,12,3,3,6,15,8,7,12,5
FC Lahti,12,2,6,4,13,16,-3,12,6
Ilves Tampere,12,2,5,5,16,8,8,11,7
Haka Valkeakoski,12,2,5,5,11,17,-6,11,8
Helsingfors IFK,12,1,6,5,11,17,-6,9,9
IFK Mariehamn,12,0,3,9,12,19,-7,3,10
Oulu,12,0,3,9,5,21,-16,3,11
Kotkan Tyovaen Palloilijat,12,0,2,10,15,20,-5,2,12
Kuopion PS,13,10,3,0,22,16,6,33,1
HJK Helsinki,13,10,3,0,16,11,5,33,2
Inter Turku,13,7,4,2,16,21,-5,25,3
Seinajoki,13,3,7,3,26,19,7,16,4
FC Honka,13,4,3,6,15,9,6,15,5
FC Lahti,13,3,6,4,15,16,-1,15,6
Haka Valkeakoski,13,2,6,5,12,19,-7,12,7
Ilves Tampere,13,2,5,6,17,9,8,11,8
Helsingfors IFK,13,1,7,5,11,17,-6,10,9
IFK Mariehamn,13,0,4,9,14,23,-9,4,10
Oulu,13,0,3,10,6,23,-17,3,11
Kotkan Tyovaen Palloilijat,13,0,2,11,16,22,-6,2,12
HJK Helsinki,14,11,3,0,21,12,9,36,1
Kuopion PS,14,11,3,0,23,16,7,36,2
Inter Turku,14,8,4,2,16,22,-6,28,3
Seinajoki,14,4,7,3,28,20,8,19,4
FC Lahti,14,4,6,4,18,18,0,18,5
FC Honka,14,4,4,6,17,10,7,16,6
Ilves Tampere,14,3,5,6,17,10,7,14,7
Helsingfors IFK,14,2,7,5,14,17,-3,13,8
Haka Valkeakoski,14,2,6,6,13,19,-6,12,9
IFK Mariehamn,14,0,5,9,15,24,-9,5,10
Oulu,14,0,3,11,6,24,-18,3,11
Kotkan Tyovaen Palloilijat,14,0,2,12,17,27,-10,2,12
HJK Helsinki,15,12,3,0,22,12,10,39,1
Kuopion PS,15,12,3,0,24,16,8,39,2
Inter Turku,15,9,4,2,20,23,-3,31,3
Seinajoki,15,5,7,3,31,21,10,22,4
FC Lahti,15,4,7,4,19,19,0,19,5
FC Honka,15,4,5,6,18,12,6,17,6
Ilves Tampere,15,3,6,6,17,12,5,15,7
Haka Valkeakoski,15,3,6,6,15,20,-5,15,8
Helsingfors IFK,15,2,8,5,14,17,-3,14,9
IFK Mariehamn,15,0,6,9,15,25,-10,6,10
Oulu,15,0,3,12,7,26,-19,3,11
Kotkan Tyovaen Palloilijat,15,0,2,13,19,29,-10,2,12
HJK Helsinki,16,13,3,0,25,12,13,42,1
Kuopion PS,16,13,3,0,25,18,7,42,2
Inter Turku,16,9,5,2,22,26,-4,32,3
Seinajoki,16,6,7,3,33,23,10,25,4
FC Lahti,16,4,8,4,20,21,-1,20,5
FC Honka,16,4,6,6,19,12,7,18,6
Ilves Tampere,16,3,7,6,19,14,5,16,7
Haka Valkeakoski,16,3,7,6,18,20,-2,16,8
Helsingfors IFK,16,2,9,5,14,17,-3,15,9
IFK Mariehamn,16,0,7,9,19,29,-10,7,10
Oulu,16,0,3,13,7,27,-20,3,11
Kotkan Tyovaen Palloilijat,16,0,2,14,19,33,-14,2,12
HJK Helsinki,17,14,3,0,26,12,14,45,1
Kuopion PS,17,14,3,0,27,18,9,45,2
Inter Turku,17,9,6,2,25,27,-2,33,3
Seinajoki,17,7,7,3,34,25,9,28,4
FC Lahti,17,4,9,4,21,21,0,21,5
FC Honka,17,4,7,6,21,13,8,19,6
Ilves Tampere,17,3,8,6,20,14,6,17,7
Haka Valkeakoski,17,3,8,6,18,20,-2,17,8
Helsingfors IFK,17,2,10,5,15,18,-3,16,9
IFK Mariehamn,17,0,7,10,19,31,-12,7,10
Kotkan Tyovaen Palloilijat,17,0,3,14,20,35,-15,3,11
Oulu,17,0,3,14,7,28,-21,3,12
Kuopion PS,18,15,3,0,29,18,11,48,1
HJK Helsinki,18,14,4,0,27,13,14,46,2
Inter Turku,18,9,7,2,29,29,0,34,3
Seinajoki,18,8,7,3,37,25,12,31,4
FC Lahti,18,4,10,4,22,25,-3,22,5
FC Honka,18,4,7,7,21,18,3,19,6
Ilves Tampere,18,3,9,6,21,15,6,18,7
Haka Valkeakoski,18,3,9,6,20,21,-1,18,8
Helsingfors IFK,18,2,10,6,16,20,-4,16,9
IFK Mariehamn,18,1,7,10,21,33,-12,10,10
Kotkan Tyovaen Palloilijat,18,0,3,15,20,38,-18,3,11
Oulu,18,0,3,15,9,34,-25,3,12
Kuopion PS,19,16,3,0,30,20,10,51,1
HJK Helsinki,19,15,4,0,29,13,16,49,2
Inter Turku,19,10,7,2,30,32,-2,37,3
Seinajoki,19,9,7,3,41,25,16,34,4
FC Lahti,19,5,10,4,27,26,1,25,5
FC Honka,19,5,7,7,23,19,4,22,6
Ilves Tampere,19,4,9,6,24,15,9,21,7
Haka Valkeakoski,19,3,10,6,21,22,-1,19,8
Helsingfors IFK,19,3,10,6,18,22,-4,19,9
IFK Mariehamn,19,1,8,10,21,33,-12,11,10
Oulu,19,0,4,15,11,36,-25,4,11
Kotkan Tyovaen Palloilijat,19,0,3,16,21,38,-17,3,12
Kuopion PS,20,17,3,0,31,21,10,54,1
HJK Helsinki,20,16,4,0,35,14,21,52,2
Inter Turku,20,11,7,2,32,34,-2,40,3
Seinajoki,20,10,7,3,43,25,18,37,4
FC Lahti,20,5,11,4,28,26,2,26,5
FC Honka,20,5,8,7,24,20,4,23,6
Ilves Tampere,20,4,10,6,27,16,11,22,7
Haka Valkeakoski,20,4,10,6,24,22,2,22,8
Helsingfors IFK,20,3,11,6,22,26,-4,20,9
IFK Mariehamn,20,1,9,10,22,34,-12,12,10
Oulu,20,0,5,15,15,38,-23,5,11
Kotkan Tyovaen Palloilijat,20,0,3,17,23,40,-17,3,12
Kuopion PS,21,18,3,0,32,22,10,57,1
HJK Helsinki,21,17,4,0,35,14,21,55,2
Inter Turku,21,11,8,2,32,36,-4,41,3
Seinajoki,21,10,8,3,44,26,18,38,4
FC Lahti,21,5,12,4,30,28,2,27,5
FC Honka,21,5,9,7,26,20,6,24,6
Ilves Tampere,21,4,11,6,30,18,12,23,7
Haka Valkeakoski,21,4,11,6,27,24,3,23,8
Helsingfors IFK,21,3,12,6,22,27,-5,21,9
IFK Mariehamn,21,1,10,10,23,37,-14,13,10
Oulu,21,0,5,16,16,38,-22,5,11
Kotkan Tyovaen Palloilijat,21,0,3,18,23,43,-20,3,12
Kuopion PS,22,19,3,0,32,23,9,60,1
HJK Helsinki,22,18,4,0,37,14,23,58,2
Inter Turku,22,11,9,2,34,37,-3,42,3
Seinajoki,22,10,9,3,45,27,18,39,4
FC Lahti,22,5,13,4,30,28,2,28,5
FC Honka,22,5,10,7,26,23,3,25,6
Ilves Tampere,22,4,12,6,32,18,14,24,7
Haka Valkeakoski,22,4,12,6,27,26,1,24,8
Helsingfors IFK,22,3,13,6,23,29,-6,22,9
IFK Mariehamn,22,1,11,10,25,40,-15,14,10
Oulu,22,0,5,17,17,40,-23,5,11
Kotkan Tyovaen Palloilijat,22,0,3,19,23,46,-23,3,12
