Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
Grasshoppers Zurich,10,2,5,3,14,11,3,11,7
FC Sion,10,2,3,5,8,24,-16,9,8
FC Zurich,10,0,5,5,5,18,-13,5,9
Winterthur,10,0,1,9,4,27,-23,1,10
Young Boys,11,11,0,0,32,5,27,33,1
FC St Gallen,11,6,3,2,25,21,4,21,2
FC Lugano,11,4,5,2,22,13,9,17,3
FC Basel,11,3,6,2,16,13,3,15,4
Servette Geneve,11,3,6,2,12,10,2,15,5
FC Luzern,11,3,5,3,23,15,8,14,6
Grasshoppers Zurich,11,2,6,3,16,11,5,12,7
FC Sion,11,2,4,5,10,25,-15,10,8
FC Zurich,11,0,6,5,6,20,-14,6,9
Winterthur,11,0,1,10,6,29,-23,1,10
Young Boys,12,12,0,0,34,5,29,36,1
FC St Gallen,12,7,3,2,29,21,8,24,2
FC Lugano,12,4,6,2,22,16,6,18,3
FC Basel,12,3,7,2,17,15,2,16,4
Servette Geneve,12,3,7,2,12,14,-2,16,5
FC Luzern,12,3,6,3,26,15,11,15,6
Grasshoppers Zurich,12,2,7,3,17,13,4,13,7
FC Sion,12,2,5,5,11,28,-17,11,8
FC Zurich,12,0,7,5,6,23,-17,7,9
Winterthur,12,0,1,11,6,32,-26,1,10
Young Boys,13,13,0,0,36,5,31,39,1
FC St Gallen,13,8,3,2,31,21,10,27,2
FC Lugano,13,4,7,2,23,16,7,19,3
FC Basel,13,4,7,2,19,16,3,19,4
Servette Geneve,13,3,8,2,13,15,-2,17,5
FC Luzern,13,3,7,3,27,15,12,16,6
Grasshoppers Zurich,13,3,7,3,18,17,1,16,7
FC Sion,13,2,5,6,14,33,-19,11,8
FC Zurich,13,0,7,6,7,26,-19,7,9
Winterthur,13,0,2,11,6,32,-26,2,10
Young Boys,14,14,0,0,40,6,34,42,1
FC St Gallen,14,9,3,2,32,24,8,30,2
FC Basel,14,4,8,2,20,17,3,20,3
FC Luzern,14,4,7,3,29,15,14,19,4
FC Lugano,14,4,7,3,25,20,5,19,5
Grasshoppers Zurich,14,3,8,3,21,19,2,17,6
Servette Geneve,14,3,8,3,16,17,-1,17,7
FC Sion,14,2,6,6,15,34,-19,12,8
FC Zurich,14,0,7,7,8,29,-21,7,9
Winterthur,14,0,2,12,6,32,-26,2,10
Young Boys,15,15,0,0,43,7,36,45,1
FC St Gallen,15,9,4,2,34,25,9,31,2
FC Basel,15,4,9,2,21,17,4,21,3
FC Luzern,15,4,8,3,29,17,12,20,4
FC Lugano,15,4,8,3,25,20,5,20,5
Grasshoppers Zurich,15,3,9,3,21,21,0,18,6
Servette Geneve,15,3,9,3,16,19,-3,18,7
FC Sion,15,2,7,6,15,36,-21,13,8
FC Zurich,15,0,7,8,8,30,-22,7,9
Winterthur,15,0,2,13,7,32,-25,2,10
Young Boys,16,16,0,0,46,8,38,48,1
FC St Gallen,16,10,4,2,39,28,11,34,2
FC Basel,16,4,10,2,22,18,4,22,3
FC Luzern,16,4,9,3,30,20,10,21,4
FC Lugano,16,4,9,3,25,21,4,21,5
Grasshoppers Zurich,16,4,9,3,22,22,0,21,6
Servette Geneve,16,3,10,3,17,21,-4,19,7
FC Sion,16,2,8,6,17,38,-21,14,8
FC Zurich,16,0,8,8,11,31,-20,8,9
Winterthur,16,0,2,14,10,32,-22,2,10
Young Boys,17,17,0,0,48,8,40,51,1
FC St Gallen,17,10,5,2,41,31,10,35,2
FC Luzern,17,5,9,3,31,21,10,24,3
FC Basel,17,4,11,2,24,18,6,23,4
FC Lugano,17,4,10,3,25,23,2,22,5
Grasshoppers Zurich,17,4,10,3,25,23,2,22,6
Servette Geneve,17,3,11,3,19,22,-3,20,7
FC Sion,17,2,8,7,18,39,-21,14,8
FC Zurich,17,0,8,9,15,32,-17,8,9
Winterthur,17,0,2,15,11,34,-23,2,10
Young Boys,18,18,0,0,48,8,40,54,1
FC St Gallen,18,10,6,2,43,31,12,36,2
FC Luzern,18,6,9,3,34,22,12,27,3
FC Basel,18,4,12,2,27,19,8,24,4
FC Lugano,18,4,11,3,25,26,-1,23,5
Grasshoppers Zurich,18,4,10,4,26,26,0,22,6
Servette Geneve,18,3,12,3,19,23,-4,21,7
FC Sion,18,2,8,8,19,40,-21,14,8
FC Zurich,18,0,8,10,15,34,-19,8,9
Winterthur,18,0,2,16,12,39,-27,2,10
