Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
Eastern Suburbs,6,1,3,2,5,11,-6,6,6
Wellington Phoenix R,6,1,2,3,11,14,-3,5,7
Tasman United,6,0,1,5,8,12,-4,1,8
Hamilton Wanderers,6,0,1,5,9,15,-6,1,9
Southern United,6,0,1,5,1,13,-12,1,10
Auckland City FC,7,7,0,0,16,2,14,21,1
Hawkes Bay United FC,7,4,2,1,17,10,7,14,2
Canterbury United,7,2,4,1,11,10,1,10,3
Team Wellington,7,2,3,2,13,13,0,9,4
Eastern Suburbs,7,1,4,2,6,13,-7,7,5
Waitakere United,7,1,3,3,10,17,-7,6,6
Wellington Phoenix R,7,1,2,4,12,16,-4,5,7
Tasman United,7,0,1,6,11,15,-4,1,8
Hamilton Wanderers,7,0,1,6,9,17,-8,1,9
Southern United,7,0,1,6,1,16,-15,1,10
Auckland City FC,8,8,0,0,18,2,16,24,1
Hawkes Bay United FC,8,5,2,1,19,11,8,17,2
Canterbury United,8,3,4,1,13,10,3,13,3
Team Wellington,8,3,3,2,15,15,0,12,4
Eastern Suburbs,8,2,4,2,9,15,-6,10,5
Waitakere United,8,2,3,3,13,18,-5,9,6
Wellington Phoenix R,8,1,3,4,14,17,-3,6,7
Tasman United,8,0,2,6,14,16,-2,2,8
Hamilton Wanderers,8,0,1,7,10,22,-12,1,9
Southern United,8,0,1,7,2,22,-20,1,10
Auckland City FC,9,9,0,0,20,3,17,27,1
Hawkes Bay United FC,9,6,2,1,24,11,13,20,2
Team Wellington,9,4,3,2,17,16,1,15,3
Canterbury United,9,3,5,1,14,11,3,14,4
Eastern Suburbs,9,3,4,2,9,16,-7,13,5
Waitakere United,9,2,4,3,15,20,-5,10,6
Wellington Phoenix R,9,1,3,5,15,18,-3,6,7
Tasman United,9,0,2,7,15,18,-3,2,8
Hamilton Wanderers,9,0,2,7,13,23,-10,2,9
Southern United,9,0,1,8,2,24,-22,1,10
Auckland City FC,10,9,1,0,22,3,19,28,1
Hawkes Bay United FC,10,7,2,1,25,15,10,23,2
Team Wellington,10,5,3,2,18,19,-1,18,3
Canterbury United,10,4,5,1,17,14,3,17,4
Eastern Suburbs,10,3,5,2,10,17,-7,14,5
Waitakere United,10,2,5,3,15,21,-6,11,6
Wellington Phoenix R,10,2,3,5,16,18,-2,9,7
Tasman United,10,0,2,8,15,21,-6,2,8
Hamilton Wanderers,10,0,2,8,14,26,-12,2,9
Southern United,10,0,2,8,2,26,-24,2,10
Auckland City FC,11,10,1,0,24,4,20,31,1
Hawkes Bay United FC,11,8,2,1,28,15,13,26,2
Team Wellington,11,6,3,2,20,19,1,21,3
Canterbury United,11,5,5,1,19,15,4,20,4
Eastern Suburbs,11,3,6,2,12,17,-5,15,5
Waitakere United,11,3,5,3,17,26,-9,14,6
Wellington Phoenix R,11,2,4,5,19,19,0,10,7
Tasman United,11,0,3,8,16,23,-7,3,8
Hamilton Wanderers,11,0,3,8,16,28,-12,3,9
Southern United,11,0,3,8,4,28,-24,3,10
Auckland City FC,12,11,1,0,25,5,20,34,1
Hawkes Bay United FC,12,9,2,1,29,16,13,29,2
Team Wellington,12,7,3,2,21,20,1,24,3
Canterbury United,12,5,6,1,22,16,6,21,4
Eastern Suburbs,12,4,6,2,14,17,-3,18,5
Waitakere United,12,4,5,3,18,26,-8,17,6
Wellington Phoenix R,12,3,4,5,19,19,0,13,7
Tasman United,12,1,3,8,16,25,-9,6,8
Hamilton Wanderers,12,0,3,9,19,34,-15,3,9
Southern United,12,0,3,9,6,32,-26,3,10
Auckland City FC,13,11,2,0,26,5,21,35,1
Hawkes Bay United FC,13,10,2,1,31,17,14,32,2
Team Wellington,13,8,3,2,24,20,4,27,3
Canterbury United,13,5,6,2,23,20,3,21,4
Eastern Suburbs,13,4,7,2,16,17,-1,19,5
Waitakere United,13,4,6,3,18,32,-14,18,6
Wellington Phoenix R,13,3,4,6,20,21,-1,13,7
Tasman United,13,1,4,8,17,28,-11,7,8
Hamilton Wanderers,13,0,3,10,21,40,-19,3,9
Southern United,13,0,3,10,7,36,-29,3,10
Auckland City FC,14,11,3,0,26,6,20,36,1
Hawkes Bay United FC,14,10,3,1,32,18,14,33,2
Team Wellington,14,9,3,2,31,24,7,30,3
Canterbury United,14,5,7,2,25,21,4,22,4
Eastern Suburbs,14,5,7,2,19,18,1,22,5
Waitakere United,14,4,7,3,19,32,-13,19,6
Wellington Phoenix R,14,3,4,7,21,21,0,13,7
Tasman United,14,1,4,9,21,32,-11,7,8
Hamilton Wanderers,14,0,3,11,23,43,-20,3,9
Southern United,14,0,3,11,7,38,-31,3,10
Auckland City FC,15,11,4,0,27,6,21,37,1
Hawkes Bay United FC,15,10,3,2,32,20,12,33,2
Team Wellington,15,10,3,2,34,27,7,33,3
Canterbury United,15,5,7,3,27,23,4,22,4
Eastern Suburbs,15,5,7,3,20,19,1,22,5
Waitakere United,15,4,8,3,23,36,-13,20,6
Wellington Phoenix R,15,3,4,8,24,22,2,13,7
Tasman United,15,1,5,9,21,35,-14,8,8
Hamilton Wanderers,15,0,3,12,24,45,-21,3,9
Southern United,15,0,3,12,8,41,-33,3,10
Auckland City FC,16,12,4,0,33,7,26,40,1
Hawkes Bay United FC,16,11,3,2,36,22,14,36,2
Team Wellington,16,11,3,2,36,27,9,36,3
Canterbury United,16,6,7,3,29,23,6,25,4
Eastern Suburbs,16,6,7,3,24,20,4,25,5
Waitakere United,16,5,8,3,24,36,-12,23,6
Wellington Phoenix R,16,3,5,8,26,24,2,14,7
Tasman United,16,1,5,10,22,38,-16,8,8
Hamilton Wanderers,16,0,4,12,26,45,-19,4,9
Southern United,16,0,4,12,9,44,-35,4,10
Auckland City FC,17,12,5,0,35,9,26,41,1
Hawkes Bay United FC,17,11,4,2,42,22,20,37,2
Team Wellington,17,11,4,2,40,31,9,37,3
Canterbury United,17,6,8,3,30,23,7,26,4
Eastern Suburbs,17,6,8,3,24,21,3,26,5
Waitakere United,17,6,8,3,26,37,-11,26,6
Wellington Phoenix R,17,3,5,9,26,25,1,14,7
Tasman United,17,2,5,10,26,38,-12,11,8
Hamilton Wanderers,17,0,4,13,31,47,-16,4,9
Southern United,17,0,4,13,9,45,-36,4,10
Auckland City FC,18,13,5,0,38,9,29,44,1
Hawkes Bay United FC,18,12,4,2,46,26,20,40,2
Team Wellington,18,12,4,2,43,32,11,40,3
Canterbury United,18,6,9,3,32,24,8,27,4
Eastern Suburbs,18,6,9,3,27,21,6,27,5
Waitakere United,18,6,9,3,27,38,-11,27,6
Wellington Phoenix R,18,3,6,9,29,26,3,15,7
Tasman United,18,2,6,10,27,39,-12,12,8
Hamilton Wanderers,18,0,4,14,33,47,-14,4,9
Southern United,18,0,4,14,9,49,-40,4,10
