Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
Augsburg,10,1,3,6,13,30,-17,6,9
FC Koln,10,0,5,5,17,19,-2,5,10
Leverkusen,10,0,4,6,4,14,-10,4,11
Werder Bremen,10,0,3,7,13,17,-4,3,12
Mainz 05,10,0,3,7,8,17,-9,3,13
Hoffenheim,10,0,3,7,11,25,-14,3,14
VfB Stuttgart,10,0,2,8,11,14,-3,2,15
Hertha Berlin,10,0,1,9,8,25,-17,1,16
Bochum,10,0,1,9,7,30,-23,1,17
Schalke 04,10,0,0,10,2,19,-17,0,18
Eintracht Frankfurt,11,11,0,0,26,12,14,33,1
Bayern Munich,11,11,0,0,22,14,8,33,2
Wolfsburg,11,8,2,1,27,23,4,26,3
Union Berlin,11,7,3,1,22,13,9,24,4
Monchengladbach,11,5,4,2,24,20,4,19,5
Dortmund,11,5,4,2,18,20,-2,19,6
RB Leipzig,11,3,7,1,14,10,4,16,7
Freiburg,11,1,5,5,18,24,-6,8,8
Augsburg,11,1,3,7,14,31,-17,6,9
FC Koln,11,0,6,5,19,20,-1,6,10
Leverkusen,11,0,5,6,4,14,-10,5,11
Werder Bremen,11,0,3,8,15,21,-6,3,12
Mainz 05,11,0,3,8,9,19,-10,3,13
Hoffenheim,11,0,3,8,13,26,-13,3,14
VfB Stuttgart,11,0,2,9,12,15,-3,2,15
Bochum,11,0,2,9,8,32,-24,2,16
Hertha Berlin,11,0,1,10,8,27,-19,1,17
Schalke 04,11,0,0,11,2,19,-17,0,18
Eintracht Frankfurt,12,12,0,0,29,12,17,36,1
Bayern Munich,12,12,0,0,22,15,7,36,2
Wolfsburg,12,9,2,1,28,25,3,29,3
Union Berlin,12,7,4,1,22,14,8,25,4
Monchengladbach,12,6,4,2,25,20,5,22,5
Dortmund,12,6,4,2,24,21,3,22,6
RB Leipzig,12,4,7,1,15,11,4,19,7
Augsburg,12,2,3,7,16,33,-17,9,8
Freiburg,12,1,6,5,20,25,-5,9,9
FC Koln,12,0,7,5,21,21,0,7,10
Leverkusen,12,0,6,6,5,14,-9,6,11
VfB Stuttgart,12,1,2,9,15,17,-2,5,12
Werder Bremen,12,0,3,9,16,24,-8,3,13
Mainz 05,12,0,3,9,11,20,-9,3,14
Hoffenheim,12,0,3,9,14,29,-15,3,15
Bochum,12,0,3,9,14,35,-21,3,16
Hertha Berlin,12,0,1,11,8,27,-19,1,17
Schalke 04,12,0,0,12,3,20,-17,0,18
Eintracht Frankfurt,13,13,0,0,35,12,23,39,1
Bayern Munich,13,13,0,0,26,15,11,39,2
Wolfsburg,13,10,2,1,30,25,5,32,3
Union Berlin,13,8,4,1,24,16,8,28,4
Dortmund,13,7,4,2,26,22,4,25,5
Monchengladbach,13,6,5,2,27,23,4,23,6
RB Leipzig,13,5,7,1,19,13,6,22,7
Augsburg,13,2,4,7,17,34,-17,10,8
FC Koln,13,1,7,5,23,22,1,10,9
Freiburg,13,1,7,5,20,28,-8,10,10
Leverkusen,13,0,7,6,8,16,-8,7,11
VfB Stuttgart,13,1,3,9,16,18,-2,6,12
Werder Bremen,13,0,4,9,18,26,-8,4,13
Mainz 05,13,0,4,9,12,22,-10,4,14
Hoffenheim,13,0,3,10,15,31,-16,3,15
Bochum,13,0,3,10,17,36,-19,3,16
Hertha Berlin,13,0,1,12,10,28,-18,1,17
Schalke 04,13,0,0,13,4,24,-20,0,18
Eintracht Frankfurt,14,14,0,0,39,12,27,42,1
Bayern Munich,14,14,0,0,28,16,12,42,2
Wolfsburg,14,10,3,1,31,27,4,33,3
Union Berlin,14,9,4,1,28,17,11,31,4
Dortmund,14,8,4,2,27,24,3,28,5
Monchengladbach,14,7,5,2,29,24,5,26,6
RB Leipzig,14,6,7,1,22,14,8,25,7
FC Koln,14,2,7,5,24,22,2,13,8
Freiburg,14,2,7,5,21,29,-8,13,9
Augsburg,14,2,5,7,18,37,-19,11,10
Leverkusen,14,0,8,6,10,17,-7,8,11
VfB Stuttgart,14,1,3,10,16,22,-6,6,12
Werder Bremen,14,0,5,9,19,26,-7,5,13
Mainz 05,14,0,5,9,12,23,-11,5,14
Bochum,14,0,4,10,18,36,-18,4,15
Hoffenheim,14,0,4,10,15,33,-18,4,16
Hertha Berlin,14,0,1,13,10,31,-21,1,17
Schalke 04,14,0,0,14,4,26,-22,0,18
Eintracht Frankfurt,15,15,0,0,41,13,28,45,1
Bayern Munich,15,15,0,0,30,16,14,45,2
Wolfsburg,15,11,3,1,37,28,9,36,3
Union Berlin,15,10,4,1,31,19,12,34,4
Dortmund,15,9,4,2,28,26,2,31,5
Monchengladbach,15,8,5,2,31,25,6,29,6
RB Leipzig,15,7,7,1,26,15,11,28,7
Freiburg,15,3,7,5,24,30,-6,16,8
FC Koln,15,2,8,5,25,23,2,14,9
Augsburg,15,2,6,7,21,37,-16,12,10
Leverkusen,15,1,8,6,12,18,-6,11,11
VfB Stuttgart,15,1,4,10,16,23,-7,7,12
Mainz 05,15,0,6,9,14,24,-10,6,13
Werder Bremen,15,0,5,10,21,29,-8,5,14
Hoffenheim,15,0,5,10,15,36,-21,5,15
Bochum,15,0,4,11,18,37,-19,4,16
Hertha Berlin,15,0,1,14,10,31,-21,1,17
Schalke 04,15,0,0,15,4,28,-24,0,18
Eintracht Frankfurt,16,16,0,0,45,13,32,48,1
Bayern Munich,16,16,0,0,31,16,15,48,2
Wolfsburg,16,12,3,1,38,29,9,39,3
Union Berlin,16,11,4,1,34,19,15,37,4
Dortmund,16,10,4,2,29,26,3,34,5
Monchengladbach,16,9,5,2,33,28,5,32,6
RB Leipzig,16,8,7,1,29,16,13,31,7
FC Koln,16,3,8,5,27,23,4,17,8
Freiburg,16,3,8,5,26,30,-4,17,9
Leverkusen,16,2,8,6,16,20,-4,14,10
Augsburg,16,2,6,8,22,39,-17,12,11
Mainz 05,16,1,6,9,14,24,-10,9,12
VfB Stuttgart,16,1,5,10,18,24,-6,8,13
Werder Bremen,16,0,6,10,23,30,-7,6,14
Bochum,16,0,5,11,19,39,-20,5,15
Hoffenheim,16,0,5,11,17,39,-22,5,16
Hertha Berlin,16,0,2,14,12,31,-19,2,17
Schalke 04,16,0,0,16,5,30,-25,0,18
Bayern Munich,17,17,0,0,37,16,21,51,1
Eintracht Frankfurt,17,16,0,1,46,14,32,48,2
Wolfsburg,17,13,3,1,39,29,10,42,3
Union Berlin,17,12,4,1,36,19,17,40,4
Monchengladbach,17,10,5,2,35,29,6,35,5
Dortmund,17,10,5,2,30,26,4,35,6
RB Leipzig,17,9,7,1,29,17,12,34,7
Freiburg,17,4,8,5,26,30,-4,20,8
FC Koln,17,3,9,5,30,23,7,18,9
Leverkusen,17,2,9,6,16,21,-5,15,10
Augsburg,17,2,7,8,23,41,-18,13,11
Mainz 05,17,1,7,9,14,27,-13,10,12
VfB Stuttgart,17,1,6,10,18,27,-9,9,13
Hoffenheim,17,1,5,11,19,41,-22,8,14
Werder Bremen,17,0,7,10,23,31,-8,7,15
Bochum,17,0,6,11,20,39,-19,6,16
Hertha Berlin,17,0,2,15,12,32,-20,2,17
Schalke 04,17,0,0,17,5,32,-27,0,18
Bayern Munich,18,18,0,0,43,17,26,54,1
Eintracht Frankfurt,18,16,1,1,47,16,31,49,2
Wolfsburg,18,14,3,1,43,29,14,45,3
Union Berlin,18,12,4,2,38,21,17,40,4
Dortmund,18,11,5,2,33,26,7,38,5
Monchengladbach,18,11,5,2,37,31,6,38,6
RB Leipzig,18,10,7,1,31,19,12,37,7
Freiburg,18,5,8,5,26,30,-4,23,8
FC Koln,18,3,10,5,31,24,7,19,9
Leverkusen,18,3,9,6,18,21,-3,18,10
Augsburg,18,3,7,8,25,42,-17,16,11
Hoffenheim,18,2,5,11,24,42,-18,11,12
Mainz 05,18,1,8,9,15,30,-15,11,13
VfB Stuttgart,18,1,6,11,19,29,-10,9,14
Werder Bremen,18,0,8,10,25,34,-9,8,15
Bochum,18,0,7,11,20,44,-24,7,16
Hertha Berlin,18,1,2,15,13,33,-20,5,17
Schalke 04,18,0,0,18,5,33,-28,0,18
Bayern Munich,19,19,0,0,50,18,32,57,1
Eintracht Frankfurt,19,16,2,1,49,17,32,50,2
Wolfsburg,19,15,3,1,47,29,18,48,3
Union Berlin,19,12,5,2,39,22,17,41,4
Dortmund,19,12,5,2,36,26,10,41,5
RB Leipzig,19,11,7,1,34,20,14,40,6
Monchengladbach,19,11,5,3,38,31,7,38,7
Freiburg,19,6,8,5,28,30,-2,26,8
Leverkusen,19,4,9,6,19,22,-3,21,9
FC Koln,19,3,11,5,33,25,8,20,10
Augsburg,19,3,8,8,26,43,-17,17,11
Mainz 05,19,1,9,9,15,35,-20,12,12
Hoffenheim,19,2,5,12,24,43,-19,11,13
Werder Bremen,19,1,8,10,26,36,-10,11,14
VfB Stuttgart,19,1,7,11,21,30,-9,10,15
Bochum,19,1,7,11,21,44,-23,10,16
Hertha Berlin,19,1,3,15,14,33,-19,6,17
Schalke 04,19,0,0,19,5,35,-30,0,18
Bayern Munich,20,20,0,0,51,20,31,60,1
Eintracht Frankfurt,20,16,2,2,52,17,35,50,2
Wolfsburg,20,15,3,2,50,33,17,48,3
Dortmund,20,13,5,2,39,26,13,44,4
RB Leipzig,20,12,7,1,37,21,16,43,5
Union Berlin,20,12,5,3,40,24,16,41,6
Monchengladbach,20,11,5,4,38,36,2,38,7
Freiburg,20,6,9,5,28,30,-2,27,8
FC Koln,20,4,11,5,37,26,11,23,9
Leverkusen,20,4,10,6,19,23,-4,22,10
Augsburg,20,4,8,8,27,43,-16,20,11
Hoffenheim,20,3,5,12,24,43,-19,14,12
Werder Bremen,20,2,8,10,29,38,-9,14,13
VfB Stuttgart,20,2,7,11,22,32,-10,13,14
Mainz 05,20,1,10,9,16,35,-19,13,15
Bochum,20,1,8,11,21,44,-23,11,16
Hertha Berlin,20,1,3,16,17,33,-16,6,17
Schalke 04,20,0,1,19,7,37,-30,1,18
Bayern Munich,21,21,0,0,55,21,34,63,1
Eintracht Frankfurt,21,17,2,2,54,17,37,53,2
Wolfsburg,21,16,3,2,55,33,22,51,3
Dortmund,21,14,5,2,43,26,17,47,4
RB Leipzig,21,13,7,1,40,21,19,46,5
Union Berlin,21,13,5,3,43,24,19,44,6
Monchengladbach,21,12,5,4,40,36,4,41,7
Freiburg,21,7,9,5,29,31,-2,30,8
FC Koln,21,5,11,5,39,26,13,26,9
Leverkusen,21,4,11,6,20,24,-4,23,10
Augsburg,21,4,9,8,28,43,-15,21,11
Mainz 05,21,2,10,9,20,36,-16,16,12
Hoffenheim,21,3,6,12,26,43,-17,15,13
Werder Bremen,21,2,9,10,30,40,-10,15,14
VfB Stuttgart,21,2,8,11,22,34,-12,14,15
Bochum,21,1,8,12,22,47,-25,11,16
Hertha Berlin,21,1,4,16,19,34,-15,7,17
Schalke 04,21,0,2,19,9,37,-28,2,18
Bayern Munich,22,22,0,0,62,23,39,66,1
Eintracht Frankfurt,22,18,2,2,58,20,38,56,2
Wolfsburg,22,17,3,2,57,35,22,54,3
Dortmund,22,15,5,2,45,26,19,50,4
RB Leipzig,22,14,7,1,41,22,19,49,5
Union Berlin,22,13,6,3,46,24,22,45,6
Monchengladbach,22,12,6,4,45,36,9,42,7
Freiburg,22,8,9,5,32,33,-1,33,8
FC Koln,22,6,11,5,41,26,15,29,9
Leverkusen,22,5,11,6,21,26,-5,26,10
Augsburg,22,4,9,9,28,44,-16,21,11
Mainz 05,22,3,10,9,21,37,-16,19,12
Werder Bremen,22,3,9,10,31,41,-10,18,13
VfB Stuttgart,22,3,8,11,22,34,-12,17,14
Hoffenheim,22,3,7,12,29,43,-14,16,15
Bochum,22,1,8,13,24,48,-24,11,16
Hertha Berlin,22,1,5,16,19,36,-17,8,17
Schalke 04,22,0,2,20,9,37,-28,2,18
Bayern Munich,23,23,0,0,69,23,46,69,1
Eintracht Frankfurt,23,18,3,2,61,22,39,57,2
Wolfsburg,23,17,4,2,59,36,23,55,3
RB Leipzig,23,15,7,1,44,23,21,52,4
Dortmund,23,15,5,3,46,29,17,50,5
Union Berlin,23,13,6,4,48,27,21,45,6
Monchengladbach,23,12,6,5,45,37,8,42,7
Freiburg,23,9,9,5,33,33,0,36,8
FC Koln,23,7,11,5,43,26,17,32,9
Leverkusen,23,6,11,6,23,26,-3,29,10
Augsburg,23,4,9,10,29,50,-21,21,11
Mainz 05,23,3,11,9,22,40,-18,20,12
Werder Bremen,23,3,10,10,34,42,-8,19,13
VfB Stuttgart,23,3,9,11,22,36,-14,18,14
Hoffenheim,23,3,8,12,30,47,-17,17,15
Bochum,23,1,8,14,25,49,-24,11,16
Hertha Berlin,23,1,6,16,22,38,-16,9,17
Schalke 04,23,0,3,20,11,38,-27,3,18
Bayern Munich,24,24,0,0,73,24,49,72,1
Eintracht Frankfurt,24,19,3,2,63,22,41,60,2
Wolfsburg,24,18,4,2,60,37,23,58,3
RB Leipzig,24,16,7,1,44,23,21,55,4
Dortmund,24,16,5,3,50,29,21,53,5
Union Berlin,24,14,6,4,51,29,22,48,6
Monchengladbach,24,12,7,5,46,38,8,43,7
Freiburg,24,10,9,5,33,33,0,39,8
FC Koln,24,8,11,5,44,30,14,35,9
Leverkusen,24,7,11,6,27,28,-1,32,10
Mainz 05,24,4,11,9,25,41,-16,23,11
Augsburg,24,4,10,10,30,51,-21,22,12
Werder Bremen,24,3,11,10,34,42,-8,20,13
VfB Stuttgart,24,3,9,12,22,38,-16,18,14
Hoffenheim,24,3,8,13,30,50,-20,17,15
Bochum,24,1,8,15,27,52,-25,11,16
Hertha Berlin,24,1,7,16,22,42,-20,10,17
Schalke 04,24,0,3,21,11,39,-28,3,18
Bayern Munich,25,25,0,0,73,24,49,75,1
Eintracht Frankfurt,25,19,4,2,65,25,40,61,2
Wolfsburg,25,18,5,2,61,39,22,59,3
RB Leipzig,25,17,7,1,47,24,23,58,4
Dortmund,25,16,6,3,51,30,21,54,5
Union Berlin,25,14,7,4,51,31,20,49,6
Monchengladbach,25,12,8,5,47,40,7,44,7
Freiburg,25,11,9,5,34,33,1,42,8
FC Koln,25,8,11,6,46,33,13,35,9
Leverkusen,25,8,11,6,27,28,-1,35,10
Mainz 05,25,4,12,9,26,41,-15,24,11
Augsburg,25,4,10,11,30,52,-22,22,12
Werder Bremen,25,3,12,10,34,43,-9,21,13
Hoffenheim,25,4,8,13,31,52,-21,20,14
VfB Stuttgart,25,3,9,13,22,40,-18,18,15
Bochum,25,1,8,16,28,54,-26,11,16
Hertha Berlin,25,1,7,17,22,44,-22,10,17
Schalke 04,25,0,3,22,13,42,-29,3,18
Bayern Munich,26,26,0,0,75,24,51,78,1
Eintracht Frankfurt,26,19,5,2,68,28,40,62,2
RB Leipzig,26,18,7,1,48,25,23,61,3
Wolfsburg,26,18,6,2,64,39,25,60,4
Dortmund,26,16,7,3,51,32,19,55,5
Union Berlin,26,14,8,4,55,32,23,50,6
Monchengladbach,26,12,9,5,48,42,6,45,7
Freiburg,26,11,9,6,34,35,-1,42,8
Leverkusen,26,9,11,6,29,29,0,38,9
FC Koln,26,8,11,7,46,33,13,35,10
Mainz 05,26,4,13,9,27,43,-16,25,11
Augsburg,26,4,10,12,31,55,-24,22,12
Hoffenheim,26,4,9,13,33,54,-21,21,13
Werder Bremen,26,3,12,11,35,44,-9,21,14
VfB Stuttgart,26,3,9,14,22,40,-18,18,15
Hertha Berlin,26,1,8,17,22,44,-22,11,16
Bochum,26,1,8,17,29,55,-26,11,17
Schalke 04,26,0,3,23,13,44,-31,3,18
Bayern Munich,27,27,0,0,82,25,57,81,1
RB Leipzig,27,19,7,1,49,27,22,64,2
Eintracht Frankfurt,27,19,6,2,68,28,40,63,3
Wolfsburg,27,18,7,2,65,41,24,61,4
Dortmund,27,16,8,3,52,32,20,56,5
Union Berlin,27,14,9,4,55,33,22,51,6
Monchengladbach,27,12,10,5,50,45,5,46,7
Freiburg,27,11,10,6,35,35,0,43,8
Leverkusen,27,9,11,7,32,30,2,38,9
FC Koln,27,8,11,8,47,34,13,35,10
Mainz 05,27,4,14,9,32,43,-11,26,11
Hoffenheim,27,5,9,13,37,55,-18,24,12
Werder Bremen,27,4,12,11,42,44,-2,24,13
Augsburg,27,4,10,13,33,59,-26,22,14
VfB Stuttgart,27,3,9,15,22,42,-20,18,15
Hertha Berlin,27,1,9,17,22,45,-23,12,16
Bochum,27,1,8,18,30,57,-27,11,17
Schalke 04,27,0,3,24,14,46,-32,3,18
Bayern Munich,28,28,0,0,85,26,59,84,1
RB Leipzig,28,19,7,2,50,27,23,64,2
Eintracht Frankfurt,28,19,6,3,69,29,40,63,3
Wolfsburg,28,18,7,3,66,45,21,61,4
Dortmund,28,16,8,4,54,34,20,56,5
Union Berlin,28,14,9,5,57,37,20,51,6
Monchengladbach,28,12,10,6,51,48,3,46,7
Freiburg,28,11,10,7,35,38,-3,43,8
Leverkusen,28,9,11,8,33,31,2,38,9
FC Koln,28,8,11,9,48,37,11,35,10
Werder Bremen,28,5,12,11,46,46,0,27,11
Mainz 05,28,4,15,9,32,44,-12,27,12
Hoffenheim,28,5,10,13,39,56,-17,25,13
Augsburg,28,4,10,14,34,59,-25,22,14
VfB Stuttgart,28,3,9,16,23,45,-22,18,15
Hertha Berlin,28,2,9,17,24,45,-21,15,16
Bochum,28,1,8,19,31,60,-29,11,17
Schalke 04,28,0,3,25,15,49,-34,3,18
Bayern Munich,29,29,0,0,86,26,60,87,1
RB Leipzig,29,20,7,2,53,27,26,67,2
Eintracht Frankfurt,29,20,6,3,71,30,41,66,3
Wolfsburg,29,19,7,3,69,47,22,64,4
Dortmund,29,17,8,4,55,34,21,59,5
Union Berlin,29,14,10,5,59,37,22,52,6
Monchengladbach,29,12,11,6,54,48,6,47,7
Freiburg,29,11,11,7,35,41,-6,44,8
Leverkusen,29,9,12,8,37,32,5,39,9
FC Koln,29,8,12,9,48,39,9,36,10
Werder Bremen,29,6,12,11,48,46,2,30,11
Mainz 05,29,5,15,9,34,45,-11,30,12
Hoffenheim,29,5,10,14,39,60,-21,25,13
Augsburg,29,4,10,15,35,64,-29,22,14
VfB Stuttgart,29,3,9,17,23,45,-22,18,15
Hertha Berlin,29,2,10,17,25,45,-20,16,16
Bochum,29,1,8,20,33,62,-29,11,17
Schalke 04,29,0,4,25,16,51,-35,4,18
Bayern Munich,30,30,0,0,87,27,60,90,1
RB Leipzig,30,21,7,2,55,27,28,70,2
Eintracht Frankfurt,30,21,6,3,74,30,44,69,3
Wolfsburg,30,20,7,3,70,47,23,67,4
Dortmund,30,18,8,4,55,37,18,62,5
Union Berlin,30,15,10,5,59,37,22,55,6
Monchengladbach,30,12,12,6,54,50,4,48,7
Freiburg,30,11,12,7,37,44,-7,45,8
Leverkusen,30,9,13,8,41,32,9,40,9
FC Koln,30,8,13,9,50,39,11,37,10
Mainz 05,30,6,15,9,40,45,-5,33,11
