Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
Giannina,9,1,2,6,17,15,2,5,11
Levadeiakos,9,0,2,7,4,14,-10,2,12
Ionikos,9,0,1,8,7,14,-7,1,13
Lamia FC,9,0,1,8,2,19,-17,1,14
AEK,10,7,3,0,20,4,16,24,1
PAOK,10,7,3,0,11,8,3,24,2
Panathinaikos,10,6,4,0,19,3,16,22,3
Olympiakos Piraeus,10,6,4,0,13,3,10,22,4
Aris,10,5,5,0,12,8,4,20,5
Atromitos,10,3,3,4,11,10,1,12,6
Volos NFC,10,3,2,5,11,16,-5,11,7
Panetolikos,10,1,4,5,14,8,6,7,8
OFI Heraklion,10,1,4,5,6,12,-6,7,9
Asteras Tripolis,10,1,4,5,10,17,-7,7,10
Giannina,10,1,3,6,18,16,2,6,11
Ionikos,10,1,1,8,7,15,-8,4,12
Levadeiakos,10,0,2,8,4,17,-13,2,13
Lamia FC,10,0,1,9,2,21,-19,1,14
AEK,11,8,3,0,22,4,18,27,1
PAOK,11,8,3,0,14,9,5,27,2
Panathinaikos,11,7,4,0,20,3,17,25,3
Olympiakos Piraeus,11,6,5,0,16,3,13,23,4
Aris,11,5,6,0,12,8,4,21,5
Atromitos,11,3,4,4,11,11,0,13,6
Volos NFC,11,3,3,5,13,18,-5,12,7
Giannina,11,2,3,6,19,18,1,9,8
Panetolikos,11,1,5,5,14,9,5,8,9
OFI Heraklion,11,1,5,5,7,13,-6,8,10
Asteras Tripolis,11,1,5,5,10,20,-10,8,11
Ionikos,11,1,1,9,7,17,-10,4,12
Levadeiakos,11,0,2,9,7,18,-11,2,13
Lamia FC,11,0,1,10,2,26,-24,1,14
AEK,12,9,3,0,24,4,20,30,1
Panathinaikos,12,8,4,0,22,5,17,28,2
PAOK,12,8,4,0,15,9,6,28,3
Olympiakos Piraeus,12,7,5,0,18,4,14,26,4
Aris,12,6,6,0,14,11,3,24,5
Atromitos,12,3,5,4,14,12,2,14,6
Volos NFC,12,3,4,5,16,19,-3,13,7
Giannina,12,2,3,7,19,20,-1,9,8
Panetolikos,12,1,6,5,17,12,5,9,9
OFI Heraklion,12,1,6,5,10,14,-4,9,10
Asteras Tripolis,12,1,6,5,11,21,-10,9,11
Ionikos,12,1,1,10,7,18,-11,4,12
Levadeiakos,12,0,2,10,7,18,-11,2,13
Lamia FC,12,0,1,11,2,27,-25,1,14
AEK,13,10,3,0,25,5,20,33,1
PAOK,13,9,4,0,16,10,6,31,2
Panathinaikos,13,8,5,0,22,6,16,29,3
Olympiakos Piraeus,13,8,5,0,19,4,15,29,4
Aris,13,7,6,0,17,12,5,27,5
Volos NFC,13,4,4,5,17,20,-3,16,6
Atromitos,13,3,6,4,15,13,2,15,7
Panetolikos,13,2,6,5,18,12,6,12,8
OFI Heraklion,13,1,7,5,10,14,-4,10,9
Asteras Tripolis,13,1,7,5,12,21,-9,10,10
Giannina,13,2,3,8,21,22,-1,9,11
Ionikos,13,1,1,11,7,20,-13,4,12
Levadeiakos,13,0,3,10,7,19,-12,3,13
Lamia FC,13,0,1,12,2,27,-25,1,14
AEK,14,10,4,0,26,8,18,34,1
PAOK,14,10,4,0,17,11,6,34,2
Panathinaikos,14,9,5,0,23,7,16,32,3
Olympiakos Piraeus,14,9,5,0,19,4,15,32,4
Aris,14,7,6,1,17,15,2,27,5
Atromitos,14,4,6,4,15,14,1,18,6
Volos NFC,14,4,5,5,19,20,-1,17,7
OFI Heraklion,14,2,7,5,12,14,-2,13,8
Panetolikos,14,2,6,6,19,13,6,12,9
Asteras Tripolis,14,1,8,5,12,21,-9,11,10
Giannina,14,2,3,9,22,25,-3,9,11
Ionikos,14,1,1,12,7,23,-16,4,12
Levadeiakos,14,0,3,11,7,21,-14,3,13
Lamia FC,14,0,1,13,2,27,-25,1,14
AEK,15,11,4,0,28,8,20,37,1
PAOK,15,11,4,0,20,11,9,37,2
Panathinaikos,15,10,5,0,23,7,16,35,3
Olympiakos Piraeus,15,9,6,0,20,6,14,33,4
Aris,15,8,6,1,19,16,3,30,5
Atromitos,15,5,6,4,17,14,3,21,6
Volos NFC,15,5,5,5,21,20,1,20,7
Asteras Tripolis,15,2,8,5,13,21,-8,14,8
OFI Heraklion,15,2,7,6,12,18,-6,13,9
Panetolikos,15,2,6,7,19,15,4,12,10
Giannina,15,2,3,10,24,27,-3,9,11
Ionikos,15,1,2,12,7,25,-18,5,12
Levadeiakos,15,0,3,12,7,21,-14,3,13
Lamia FC,15,0,2,13,3,27,-24,2,14
PAOK,16,12,4,0,22,11,11,40,1
AEK,16,11,5,0,29,8,21,38,2
Panathinaikos,16,11,5,0,26,7,19,38,3
Olympiakos Piraeus,16,10,6,0,20,8,12,36,4
Aris,16,9,6,1,19,16,3,33,5
Atromitos,16,5,6,5,17,15,2,21,6
Volos NFC,16,5,5,6,22,22,0,20,7
Asteras Tripolis,16,2,8,6,14,23,-9,14,8
OFI Heraklion,16,2,7,7,12,19,-7,13,9
Giannina,16,3,3,10,26,27,-1,12,10
Panetolikos,16,2,6,8,19,15,4,12,11
Ionikos,16,1,2,13,8,28,-20,5,12
Levadeiakos,16,0,4,12,7,21,-14,4,13
Lamia FC,16,0,2,14,3,28,-25,2,14
AEK,17,12,5,0,34,9,25,41,1
Panathinaikos,17,12,5,0,28,7,21,41,2
PAOK,17,12,5,0,23,11,12,41,3
Olympiakos Piraeus,17,11,6,0,20,8,12,39,4
Aris,17,10,6,1,20,17,3,36,5
Atromitos,17,5,6,6,17,17,0,21,6
Volos NFC,17,5,5,7,23,23,0,20,7
Asteras Tripolis,17,2,8,7,14,25,-11,14,8
OFI Heraklion,17,2,7,8,12,22,-10,13,9
Giannina,17,3,3,11,27,29,-2,12,10
Panetolikos,17,2,6,9,19,17,2,12,11
Ionikos,17,1,3,13,8,29,-21,6,12
Levadeiakos,17,0,4,13,7,21,-14,4,13
Lamia FC,17,0,2,15,3,31,-28,2,14
AEK,18,13,5,0,38,10,28,44,1
Panathinaikos,18,12,6,0,30,8,22,42,2
Olympiakos Piraeus,18,12,6,0,23,9,14,42,3
PAOK,18,12,6,0,23,11,12,42,4
Aris,18,11,6,1,23,18,5,39,5
Atromitos,18,5,6,7,18,19,-1,21,6
Volos NFC,18,5,5,8,23,24,-1,20,7
Panetolikos,18,3,6,9,19,17,2,15,8
Asteras Tripolis,18,2,8,8,15,27,-12,14,9
Giannina,18,3,4,11,27,31,-4,13,10
OFI Heraklion,18,2,7,9,13,24,-11,13,11
Ionikos,18,1,4,13,10,30,-20,7,12
Levadeiakos,18,0,4,14,8,21,-13,4,13
Lamia FC,18,0,2,16,4,34,-30,2,14
AEK,19,14,5,0,39,10,29,47,1
Olympiakos Piraeus,19,13,6,0,24,9,15,45,2
Panathinaikos,19,12,7,0,30,11,19,43,3
PAOK,19,12,7,0,24,12,12,43,4
Aris,19,11,6,2,24,20,4,39,5
Atromitos,19,5,6,8,18,21,-3,21,6
Volos NFC,19,5,5,9,23,28,-5,20,7
Panetolikos,19,4,6,9,21,19,2,18,8
Giannina,19,3,5,11,28,32,-4,14,9
OFI Heraklion,19,2,8,9,15,24,-9,14,10
Asteras Tripolis,19,2,8,9,16,28,-12,14,11
Ionikos,19,1,5,13,11,32,-21,8,12
Levadeiakos,19,0,4,15,8,25,-17,4,13
Lamia FC,19,0,2,17,4,37,-33,2,14
AEK,20,15,5,0,42,10,32,50,1
Olympiakos Piraeus,20,14,6,0,27,9,18,48,2
Panathinaikos,20,13,7,0,31,11,20,46,3
PAOK,20,13,7,0,26,12,14,46,4
Aris,20,12,6,2,26,20,6,42,5
Atromitos,20,6,6,8,20,21,-1,24,6
Volos NFC,20,6,5,9,27,28,-1,23,7
Panetolikos,20,4,6,10,21,22,-1,18,8
Giannina,20,3,6,11,28,36,-8,15,9
OFI Heraklion,20,2,9,9,16,25,-9,15,10
Asteras Tripolis,20,2,9,9,16,28,-12,15,11
Ionikos,20,1,6,13,11,33,-22,9,12
Levadeiakos,20,0,4,16,8,28,-20,4,13
Lamia FC,20,0,2,18,5,37,-32,2,14
AEK,21,16,5,0,44,10,34,53,1
Olympiakos Piraeus,21,15,6,0,29,11,18,51,2
Panathinaikos,21,14,7,0,33,13,20,49,3
PAOK,21,14,7,0,28,12,16,49,4
Aris,21,13,6,2,29,21,8,45,5
Atromitos,21,6,7,8,21,22,-1,25,6
Volos NFC,21,6,6,9,29,33,-4,24,7
Panetolikos,21,4,7,10,22,23,-1,19,8
Giannina,21,4,6,11,32,36,-4,18,9
Asteras Tripolis,21,2,10,9,17,30,-13,16,10
OFI Heraklion,21,2,9,10,16,28,-12,15,11
Ionikos,21,1,6,14,11,35,-24,9,12
Levadeiakos,21,0,5,16,10,28,-18,5,13
Lamia FC,21,0,2,19,7,38,-31,2,14
AEK,22,17,5,0,47,10,37,56,1
Olympiakos Piraeus,22,15,7,0,29,12,17,52,2
Panathinaikos,22,14,8,0,36,14,22,50,3
PAOK,22,14,7,1,29,13,16,49,4
Aris,22,13,6,3,29,23,6,45,5
Atromitos,22,6,7,9,21,24,-3,25,6
Volos NFC,22,6,6,10,29,36,-7,24,7
Panetolikos,22,4,8,10,25,23,2,20,8
Giannina,22,4,6,12,33,40,-7,18,9
Asteras Tripolis,22,2,10,10,18,31,-13,16,10
OFI Heraklion,22,2,10,10,16,30,-14,16,11
Ionikos,22,1,6,15,12,40,-28,9,12
Levadeiakos,22,0,6,16,11,28,-17,6,13
Lamia FC,22,0,2,20,7,40,-33,2,14
AEK,23,18,5,0,50,10,40,59,1
Olympiakos Piraeus,23,16,7,0,31,12,19,55,2
Panathinaikos,23,15,8,0,38,14,24,53,3
PAOK,23,15,7,1,30,14,16,52,4
Aris,23,14,6,3,29,23,6,48,5
Atromitos,23,6,8,9,24,27,-3,26,6
Volos NFC,23,6,7,10,30,36,-6,25,7
Panetolikos,23,5,8,10,26,26,0,23,8
Giannina,23,4,6,13,35,42,-7,18,9
Asteras Tripolis,23,2,11,10,19,33,-14,17,10
OFI Heraklion,23,2,11,10,17,31,-14,17,11
Ionikos,23,1,6,16,12,40,-28,9,12
Levadeiakos,23,0,6,17,12,30,-18,6,13
Lamia FC,23,0,2,21,7,41,-34,2,14
AEK,24,19,5,0,53,10,43,62,1
Olympiakos Piraeus,24,17,7,0,33,13,20,58,2
Panathinaikos,24,16,8,0,39,14,25,56,3
PAOK,24,16,7,1,34,14,20,55,4
Aris,24,15,6,3,32,23,9,51,5
Atromitos,24,6,9,9,24,27,-3,27,6
Volos NFC,24,6,8,10,31,39,-8,26,7
Panetolikos,24,5,9,10,28,26,2,24,8
OFI Heraklion,24,3,11,10,17,31,-14,20,9
Giannina,24,4,7,13,36,43,-7,19,10
Asteras Tripolis,24,2,12,10,19,34,-15,18,11
Ionikos,24,1,7,16,12,42,-30,10,12
Levadeiakos,24,0,6,18,13,30,-17,6,13
Lamia FC,24,0,2,22,7,43,-36,2,14
AEK,25,20,5,0,54,11,43,65,1
Olympiakos Piraeus,25,18,7,0,34,14,20,61,2
Panathinaikos,25,17,8,0,41,14,27,59,3
PAOK,25,17,7,1,36,15,21,58,4
Aris,25,16,6,3,34,24,10,54,5
Atromitos,25,6,10,9,24,27,-3,28,6
Volos NFC,25,6,9,10,31,40,-9,27,7
Panetolikos,25,5,10,10,30,27,3,25,8
OFI Heraklion,25,3,12,10,18,31,-13,21,9
Giannina,25,4,8,13,38,44,-6,20,10
Asteras Tripolis,25,2,13,10,20,34,-14,19,11
Ionikos,25,1,8,16,12,42,-30,11,12
Levadeiakos,25,0,7,18,13,31,-18,7,13
Lamia FC,25,0,2,23,7,44,-37,2,14
AEK,26,21,5,0,56,12,44,68,1
Olympiakos Piraeus,26,19,7,0,37,14,23,64,2
Panathinaikos,26,18,8,0,41,15,26,62,3
PAOK,26,18,7,1,36,15,21,61,4
Aris,26,17,6,3,38,24,14,57,5
Atromitos,26,7,10,9,24,27,-3,31,6
Volos NFC,26,7,9,10,33,40,-7,30,7
Panetolikos,26,6,10,10,30,28,2,28,8
OFI Heraklion,26,3,13,10,19,31,-12,22,9
Giannina,26,4,9,13,38,45,-7,21,10
Asteras Tripolis,26,2,14,10,22,36,-14,20,11
Ionikos,26,1,9,16,12,44,-32,12,12
Levadeiakos,26,0,8,18,15,33,-18,8,13
Lamia FC,26,0,3,23,7,44,-37,3,14
